schemaname,tablename,policyname,permissive,roles,cmd,using_condition,with_check_condition
public,buste,Gli utenti autenticati possono creare buste,PERMISSIVE,{public},INSERT,null,(auth.uid() = creato_da)
public,buste,Gli utenti autenticati possono vedere tutte le buste,PERMISSIVE,{public},SELECT,((auth.jwt() ->> 'role'::text) = 'authenticated'::text),null
public,buste,Manager e Admin possono aggiornare le buste,PERMISSIVE,{public},UPDATE,true,true
public,buste,Manager e Admin possono cancellare le buste,PERMISSIVE,{public},DELETE,"((get_my_claim('role'::text))::text = ANY (ARRAY['manager'::text, 'admin'::text]))",null
public,buste,admin_full_access,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'admin'::text))))",null
public,buste,manager_crud_no_delete,PERMISSIVE,{authenticated},ALL,"(EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = ANY (ARRAY['manager'::text, 'admin'::text])))))",null
public,buste,operatore_read_only,PERMISSIVE,{authenticated},ALL,"((EXISTS ( SELECT 1
   FROM profiles
  WHERE ((profiles.id = auth.uid()) AND (profiles.role = 'operatore'::text)))) AND
CASE
    WHEN (current_setting('request.method'::text, true) = 'GET'::text) THEN true
    ELSE false
END)",null
public,clienti,Accesso completo per utenti autenticati,PERMISSIVE,{public},ALL,((auth.jwt() ->> 'role'::text) = 'authenticated'::text),((auth.jwt() ->> 'role'::text) = 'authenticated'::text)
public,comunicazioni,Users can access communications from their company,PERMISSIVE,{public},ALL,"(EXISTS ( SELECT 1
   FROM buste
  WHERE ((buste.id = comunicazioni.busta_id) AND (buste.creato_da = auth.uid()))))",null
public,fornitori_lab_esterno,Enable insert for authenticated users,PERMISSIVE,{public},INSERT,null,(auth.role() = 'authenticated'::text)
public,fornitori_lab_esterno,Enable read access for authenticated users,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
public,fornitori_lab_esterno,Enable update for authenticated users,PERMISSIVE,{public},UPDATE,(auth.role() = 'authenticated'::text),null
public,fornitori_lac,Fornitori - read all,PERMISSIVE,{public},SELECT,(auth.role() = 'authenticated'::text),null
